Halaman,Nama Produk,Harga,Label Produk,Jenis Penyedia,Lokasi,Jumlah Terjual,Kategori,Status Produk,URL
8,Lampu Penerangan Jalan Umum (PJU),"Rp 971.250,00",PDN,UMKK,Kab. Kediri,2,Barang,Aktif,https://katalog.inaproc.id/hadio-denta-medika/lampu-penerangan-jalan-umum-pju
8,SOLAR CELL LAMPU JALAN PENERANGAN UMUM PJU 2 IN 1 PJUTS,"Rp 21.803.571,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-rehobot-sukses-mandiri/solar-cell-lampu-jalan-penerangan-umum-pju-2-in-1-pjuts
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-penerangan-jalan-umum-pju-90w
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-rehobot-sukses-mandiri/lampu-penerangan-jalan-umum-pju-90w
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-pju-90w
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kab. Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/tamaro-nusantara/lampu-penerangan-jalan-umum-pju-90w
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/lampu-penerangan-jalan-umum-pju-90w
8,Lampu Penerangan Jalan Umum Tenaga Surya (LPJU),"Rp 5.139.700,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-tenaga-surya-lpju
8,Lampu Penerangan Jalan Umum Tenaga Surya (LPJU),"Rp 5.139.700,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum-tenaga-surya-lpju
8,Lampu Penerangan Jalan Umum Tenaga Surya (LPJU),"Rp 5.139.700,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-penerangan-jalan-umum-tenaga-surya-lpju
8,Alat Penerangan Jalan Umum LED Tenaga Surya 2 In 1 Non Smart 60 Watt,"Rp 58.009.572,00",PDN,UMKK,Kab. Bogor,0,Barang,Aktif,https://katalog.inaproc.id/rekayasa-bangun-indonesia/alat-penerangan-jalan-umum-led-tenaga-surya-2-in-1-non-smart-60-watt
8,LAMPU APJ LTS - Lampu Penerangan Jalan Umum dengan Tenaga Surya,"Rp 56.736.300,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-apj-lts-lampu-penerangan-jalan-umum-dengan-tenaga-surya
8,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
8,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
8,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
8,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
8,Lampu Penerangan Jalan Umum (PJU),"Rp 13.320.000,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/olivindo-energi-mandiri/lampu-penerangan-jalan-umum-pju
8,1 Set Lengkap Alat Penerangan Jalan Umum,"Rp 16.607.053,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/1-set-lengkap-alat-penerangan-jalan-umum
8,Pemeliharaan Alat Penerangan Jalan Umum,"Rp 19.475.792,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/pemeliharaan-alat-penerangan-jalan-umum
8,Perawatan Lampu Penerangan Jalan Umum,"Rp 849.150,00",PDN,UMKK,Kab. Kutai Kartanegara,0,Barang,Pre Order,https://katalog.inaproc.id/anugrahliur/perawatan-lampu-penerangan-jalan-umum
8,PENERANGAN JALAN UMUM TENAGA SURYA,"Rp 21.891.776,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/penerangan-jalan-umum-tenaga-surya
8,Penerangan Jalan Umum BANDELL S09 RUSH 40 SMARTSYSTEM PLC,"Rp 7.387.000,00",PDN,UMKK,Kab. Cilacap,0,Barang,Aktif,https://katalog.inaproc.id/pustaka-wijaya-kusuma/penerangan-jalan-umum-bandell-s09-rush-40-smartsystem-plc
8,Lampu Penerangan Jalan Umum Solar CELENE 60,"Rp 32.190.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum-solar-celene-60
8,Lampu Penerangan Jalan Umum Solar CELENE 60,"Rp 32.190.001,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/lampu-penerangan-jalan-umum-solar-celene-60
8,Lampu Penerangan Jalan Umum Solar CELENE 60,"Rp 32.190.001,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-solar-celene-60
8,LAMPU PENERANGAN JALAN UMUM 120 WATT MERK POWERLED INCLUDE PEMASANGAN,"Rp 5.994.000,00",PDN,UMKK,Kab. Bantul,0,Barang,Aktif,https://katalog.inaproc.id/putra-jogja-istimewa/lampu-penerangan-jalan-umum-120-watt-merk-powerled-include-pemasangan
8,Lampu Penerangan Jalan Umum (PJU),"Rp 1.250.000,00",PDN,UMKK,Kab. Musi Banyuasin,0,Barang,Aktif,https://katalog.inaproc.id/nomen-citra-notra/lampu-penerangan-jalan-umum-pju
8,Lampu Penerangan Jalan Umum Solar CELENE 80,"Rp 39.960.001,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/lampu-penerangan-jalan-umum-solar-celene-80
8,IMPREZZA Lampu Penerangan Jalan Umum CELENE 80,"Rp 39.960.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/imprezza-lampu-penerangan-jalan-umum-celene-80
8,IMPREZZA Lampu Penerangan Jalan Umum CELENE 80,"Rp 39.960.000,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/imprezza-lampu-penerangan-jalan-umum-celene-80
8,Lampu Penerangan Jalan Umum Solar CELENE 80,"Rp 39.960.001,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-solar-celene-80
8,LAMPU PENERANGAN JALAN UMUM (SL SERIES 100 L3 - 150 WATT PRISLED),"Rp 6.300.000,00",PDN,UMKK,Kota Tanjung Pinang,0,Barang,Aktif,https://katalog.inaproc.id/malika-bintan-gemilang/lampu-penerangan-jalan-umum-sl-series-100-l3-150-watt-prisled
8,LAMPU PENERANGAN JALAN UMUM (PJU) 90W,"Rp 3.954.821,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum-pju-90w
8,Penerangan Jalan Umum Tenaga Surya 2 in 1 60 watt Two in one tinggi tiang 9 meter,"Rp 43.500.000,00",PDN,UMKK,Kota Banjarmasin,0,Barang,Aktif,https://katalog.inaproc.id/charia-benefit-utama/penerangan-jalan-umum-tenaga-surya-2-in-1-60-watt-two-in-one-tinggi-tiang-9-meter
8,Lampu Penerangan Jalan Umum PJU LED ESUN ES40 - 40 Watt Smart System,"Rp 6.576.001,00",PDN,UMKK,Kota Surabaya,154,Barang,Aktif,https://katalog.inaproc.id/berkat-energi-sollusindo/lampu-penerangan-jalan-umum-pju-led-esun-es40-40-watt-smart-system
8,Penerangan Jalan Umum Tenaga Surya 2 in 1 60 watt Two in one tinggi tiang 9 meter,"Rp 48.285.000,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/penerangan-jalan-umum-tenaga-surya-2-in-1-60-watt-two-in-one-tinggi-tiang-9-meter
8,Penerangan Jalan Umum Tenaga Surya 2 in 1 60 watt Two in one tinggi tiang 9 meter,"Rp 48.285.000,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/penerangan-jalan-umum-tenaga-surya-2-in-1-60-watt-two-in-one-tinggi-tiang-9-meter
8,SMART PJUTS (PENERANGAN JALAN UMUM TENAGA SURYA) 80 WATT,"Rp 48.300.000,00",PDN,UMKK,Kota Bandung,0,Barang,Aktif,https://katalog.inaproc.id/pt-sinergi-artha-azkia/smart-pjuts-penerangan-jalan-umum-tenaga-surya-80-watt
8,GE LAMPU PENERANGAN JALAN UMUM TENAGA SURYA (PJUTS) ALL IN ONE 50W,"Rp 14.653.190,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/ge-lampu-penerangan-jalan-umum-tenaga-surya-pjuts-all-in-one-50w
8,GE LAMPU PENERANGAN JALAN UMUM TENAGA SURYA (PJUTS) ALL IN ONE 50W,"Rp 14.653.190,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/ge-lampu-penerangan-jalan-umum-tenaga-surya-pjuts-all-in-one-50w
